big_maps/index/347455/contents/81407e5c861a62fbb97ac360a64803cadd79df05e9503c7de2c8ca1d93583d5e/data,0,0,1
big_maps/index/347453/key_type,0,0,0
big_maps/index/347455/contents/a9ce0b47cf8136331121046ee82c89f64546e95996042751baf46622c73c74cb/data,0,0,1
contracts/index/01d496def47a3be89f5d54c6e6bb13cc6645d6e16600/len/storage,1,1,1
big_maps/index/149768/value_type,0,0,0
big_maps/index/149775/key_type,0,1,0
contracts/index/00003325711190898d0e0d3d9c09e33aa6ec8c035cf8/frozen_deposits,0,0,0
big_maps/index/347456/contents/71539c99662eda87da0504482567d751df75d3439d8be2fe897a8e83586865b5/data,1,1,1
big_maps/index/347456/contents/1fa6570a5b000df8490b1a460ded2e8533386b411db01997816321da6179f2d5/data,1,1,1
big_maps/index/347456/contents/3c473434b116c7a99595607a1b3e74e9e3d66758ea57369418ca453ca9d4185c/len,0,2,2
big_maps/index/347453/contents/4beffe01d56c4fb03fd25791cb29f51b02467aa07b9bc33b77d4a05a0075da7b/len,0,0,1
contracts/index/019e602989c031c42ec85d1cb83e2f957130775ecd00/data/storage,1,1,1
big_maps/index/347453/contents/1560ae6126df822bb915d8749946555b624af9602f03ad2126e9f3410c15423d/len,0,0,1
big_maps/index/347456/contents/31325bd75d3dd208b49da58a8d75c6a6c3a7be5cb73b0448fd574c5f61a8d256/data,1,1,1
big_maps/index/347453/contents/09f1d9a717c25f36dc1c2e89cc3f060a836576c9a1dd395a2422c1393dbe31c5/len,0,0,1
big_maps/index/347455/contents/ad2774ac4f978d0398a85af3eda76ca3abc2f0586d75aa6dd139344bfa32d851/data,0,0,1
big_maps/index/347456/contents/fddeca69799c39943116c453bf379166faf5555f4f16827a25e2f9dc506be0bf/len,0,2,2
big_maps/index/347453/contents/539e60dc155b8227d19914c15fe43a3c4869b0681a94070050e7d3e0dc0c01a5/len,0,0,1
big_maps/index/347456/contents/2ab5d4e2c3322d1647ee10c07f88b5af70cf50451b2c38a02f816aed811c7eb9/len,0,2,2
big_maps/index/347456/contents/cd5226e09d8031971c3d498015b13425af2beeac705be9f46e360feaabec6d3a/data,1,1,1
big_maps/index/347456/contents/d9639c1bfafc35fa620c8de07909a1295abed7a46d8d3f645071c66ad9b8c7a8/len,0,2,2
contracts/index/0000e6bde674e512f2fd5219d793767e8a9a03887583/frozen_deposits,0,0,0
contracts/index/0000ad0000bc763297ac814d337cc8c43fabb47eee37/missed_endorsements,1,0,1
contracts/index/000088c20988d75238ebb7fda33af79d69df826bb89b/missed_endorsements,1,0,1
contracts/index/0000a239f27133bef5fb66577f05f2f62c59423ab1df/inactive_delegate,0,0,0
big_maps/index/347456/contents/3af2606d63f7cf68e6cec296cb8bc3018108df113bbaa575f53af2f779e41350/len,0,2,2
contracts/index/00026834cb636cefb3a2f1efeda04f17af90558b1e6e/inactive_delegate,0,0,0
big_maps/index/347453/contents/a297d0e65616ac8a7e6470cea503808f69d96131855a25f9c3b26bc8d9b37aa0/data,0,0,1
big_maps/index/347456/contents/fb558b540a760cc5ceb997dd01ed4c9b67a60642eec694336fcb5a2a01333c05/data,1,1,1
big_maps/index/347453/contents/13d01a0f8dd705bff34da6c7b7b11e35bb72e220d575d59b523f113c461d06c9/len,0,0,1
contracts/index/011dc5b42bc4dce9f4ea0ff5a411b0a245dec0fb8700/data/code,1,2,0
big_maps/index/347453/contents/e28c2543b686d7bc065d6c57fe8ee10bc8213c3a7f66af6b8ec7f37a6283e3d6/data,0,0,1
big_maps/index/158317/key_type,0,0,0
big_maps/index/347453/contents/8c7c76733f93ff326682c33a82ae18335549a259733e16132b3eab53473cf887/data,0,0,1
big_maps/index/347456/contents/9509ee9cc65817a3d993865560de8c49c8bceb950069b1bbc47de8bcb93039f6/len,0,2,2
contracts/index/0002918015298894f58b88a0afdd1c363ff59248fa20/inactive_delegate,0,0,0
contracts/index/01d5fcc2cf7e5e746a90b0ee50f17beebb8f876d2d00/used_bytes,1,1,1
big_maps/index/347456/contents/60157b5521caeb5a7fd7f218c702f6bfce5fa0a1f1a7c0a0fcd30edc9162773a/len,0,2,2
contracts/index/0002e19471e8611fcb03c34c4599b019c9c86867b447/inactive_delegate,0,0,0
big_maps/index/347455/contents/6308c549159479f9723f5cf00aead26c3a55ef2a4d30d1c113a1c23ee02b8327/data,0,0,1
big_maps/index/347455/contents/71539c99662eda87da0504482567d751df75d3439d8be2fe897a8e83586865b5/len,0,0,1
contracts/index/00009ff07dfb31a52504052cbbb7e54303a1573fe350/frozen_deposits,0,0,0
contracts/index/00000c92b99c004c26ec465c73b3b8f1260bd26bd610/delegate_desactivation,0,1,1
contracts/index/019e602989c031c42ec85d1cb83e2f957130775ecd00/used_bytes,1,1,1
big_maps/index/347454/value_type,0,0,0
contracts/index/000022b55a921d6edc0b5d6f1b77cab12101f763be00/frozen_deposits,0,0,0
contracts/index/0000a80dd5486ba26eaee5197f9b08cb0eb1b330d298/missed_endorsements,1,0,1
contracts/index/000063bb527cf1e692e9b4a8a8a0a87f6d0766aaa192/delegate_desactivation,0,1,1
big_maps/index/347456/contents/2eca2ab05628a9e4e03de816e421f021e5105f5c54c83f592bea52ab7efee7b4/data,1,1,1
contracts/index/00006769f19d11cf23de6dfa3f43bc56bf7ce1ea9465/delegate_desactivation,0,1,1
contracts/index/0002f11b3b1c2cfa6f895d14e017fbbe4df90c3c8a26/inactive_delegate,0,0,0
big_maps/index/347453/contents/936bed4b2ae38c98106b3d405d8883615c4d1090c951dc17a5d126f20aa6b731/len,0,0,1
big_maps/index/255568/value_type,0,0,0
big_maps/index/347455/contents/80aecdee2f26599cbc9b027dd9991511fdeb33419eb515155f7df30d4996a677/data,0,0,1
contracts/index/000292b9f2f74a0c750281deda34cad66be0a9f23129/frozen_deposits,0,0,0
contracts/index/01499c6eff0b1db4fab5669f214197abf552d0eda700/balance,0,0,0
big_maps/index/347453/contents/9bd9d600774b73a7973a45d25bfec59ca8d14d6cfdd37613c9a3a8884e47a9a6/data,0,0,1
contracts/index/00004093910adabaed276686955d065846dbcacc985a/frozen_deposits,0,0,0
contracts/index/01e250b1cf1ca705d5f06742c6c3bdc309b9c1154900/len/storage,0,0,0
big_maps/index/347455/contents/c7f7d2d6f57c60374a51f28dd6335d0518ee283310fb781c293f3c1ecc50d35e/data,0,0,1
contracts/index/000236c01f25ee99442608f62d067f068699892dae27/inactive_delegate,0,0,0
big_maps/index/347453/total_bytes,111,110,111
